accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs000555.v1.p1","PAGE: CALiCo: Hispanic Community Health Study / Study of Latinos    (HCHS/SOL)","This sub-study phs000555 PAGE CALiCo SOL contains genotype data and selected phenotype of subjects available from the phs000555. Summary level phenotypes for the NHLBI HCHS SOL Cohort study participants  can be viewed at the top-level study page phs000810 HCHS SOL Cohort. Individual level phenotype data and molecular data for all HCHS SOL Cohort top","Diabetes Mellitus, Type 2","Prospective Longitudinal Cohort","Not Provided","Hispanic Community Health Study /Study of Latinos (HCHS/SOL) (phs000810.v1.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","1 phenotype datasets, 6 variables, 1 molecular datasets, 12089 subjects, 12341 samples","","NHLBI","HMB-NPU --- Health/medical/biomedical (npu) , HMB --- Health/medical/biomedical","2015-12-07","2016-12-17","Airway hyperreactivity; Asthma, Bronchial; Asthmas; Asthmatic; Bronchial Asthma; Reactive airway disease"
"phs000557.v4.p1","NHLBI ARIC Candidate Gene Association Resource (CARe)","This sub-study phs000557 ARIC_CARe contains genotype derived from sequence data and selected phenotype of subjects available from the phs000557 study. Summary level phenotypes for the NHLBI ARIC Cohort study  participants can be viewed at the top-level study page phs000280 ARIC Cohort. Individual level phenotype data and molecular data for all ARIC Cohort","Atherosclerosis","Case-Control","Not Provided","Atherosclerosis Risk in Communities (ARIC) Cohort (phs000280.v5.p1)","SNP Genotypes (Array)","2 phenotype datasets, 97 variables, 1 molecular datasets, 14502 subjects, 14560 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2018-12-11","2018-12-11","Atherogenesis; Body System, Cardiovascular; Cardiovascular; Cardiovascular Body System; Cardiovascular Organ System; Cardiovascular System"
"phs000571.v5.p2","PCGC: Congenital Heart Disease Genetic Network Study","This substudy phs000571 PCGC contains whole exome sequences, targeted sequences, and SNP array data. Summary level phenotypes for the PCGC Cohort study participants can be viewed at the top-level  study page phs001194 PCGC Cohort. Individual level phenotype data and molecular data for all PCGC top-level study and substudies are available by","Heart Defects, Congenital","Prospective Longitudinal Cohort","Not Provided","National Heart, Lung, and Blood Institute (NHLBI) Bench to Bassinet Program: The Pediatric Cardiac Genetics Consortium (PCGC) Study (phs001194.v2.p2)","AMPLICON, SNP Genotypes (Array), RNA-Seq, WGS, WXS","2 phenotype datasets, 14 variables, 2 molecular datasets,  SRA, 9444 subjects, 11829 samples","European (1443), African (6), East Asian (22), African American (145), Hispanic1 (121), Hispanic2 (135), Other Asian or Pacific Islander (29), South Asian (70), Other (48)","NHLBI","HMB --- Health/medical/biomedical , DS-CHD --- Disease-specific (congenital heart disease)","2018-09-14","2017-11-09","Abnormalities, Heart; Abnormality, Heart; Cardiac abnormalities; Cardiac anomaly; Congenital Heart Defect; Congenital anomaly of heart"
"phs000610.v1.p1","RM Epigenomics Program - Broad_Alz_and_Age-Related","This sub-study phs000610 RM_Epigenomics_Broad_Alz contains molecular data of subjects available from the phs000610 study. Summary level phenotypes for the NADI Roadmap Epigenomics Broad cohort study participants can be viewed  at the top-level study page phs000700 Roadmap Epigenomics Broad cohort. Individual level phenotype data and molecular data for all Roadmap","Nervous System Diseases","Cross-Sectional","Not Provided","NIH Roadmap Epigenomics Program - Broad Institute (phs000700.v1.p1)","Bisulfite-Seq, ChIP-Seq, RNA-Seq, Bisulfite-Seq, ChIP-Seq, RNA-Seq","3 phenotype datasets, 11 variables,  SRA, 3 subjects, 19 samples","","NIDA","AARC --- Alzheimer's and age related conditions","2014-07-23","2015-04-23","Disease, Nervous System; Diseases, Nervous System; Disorder, Nervous System; Disorder, Neurologic; Disorder, Neurological; Disorders, Nervous System"
"phs000613.v1.p2","NHLBI CARDIA Candidate Gene Association Resource (CARe)","This sub-study phs000613 CARDIA_CARe contains genotype of subjects available from the phs000613 study. Summary level phenotypes for the NHLBI CARDIA Cohort study participants can be viewed at the top-level  study page phs000285 CARDIA_v3 Cohort. Individual level phenotype data and molecular data for all CARDIA Cohort top-level study and sub-study are","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort (phs000285.v3.p2)","SNP Genotypes (Array)","1 phenotype datasets, 4 variables, 2 molecular datasets, 3299 subjects, 4754 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2013-08-22","2014-08-22","Atherogenesis; Caloric Intake; Energy intake; BP - High blood pressure; BP+ - Hypertension; Blood Pressure, High"
"phs000635.v1.p1","Adult Influenza Vaccine Genetics","This study includes two cohorts composed of healthy adults immunized with seasonal influenza vaccine. The first cohort was composed exclusively of males and second of females. Enrollment was restricted  to individuals of European heritage to simplify the genetic analysis. Serum samples were collected prior to immunization and at 14 days and 28 days","Influenza, Human","Prospective Longitudinal Cohort","Not Provided","Viral Respiratory Pathogens Genetics (phs001030.v1.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","3 phenotype datasets, 30 variables, 246 subjects, 246 samples","European (238), Hispanic1 (1), Hispanic2 (7)","NIAID","GRU-IRB --- General research use (irb)","2017-06-02","2017-06-02","Flu; Flu, Human; Grippe; Human Flu; Human Influenza; Human Influenzas"
"phs000642.v7.p1","The Haplotype-Resolved Genome and Epigenome of The HeLa Cancer Cell Line","The genomic architecture of HeLa remains largely unexplored beyond its karyotype, partly because like many cancers, its extensive aneuploidy renders such analyses challenging. We carried out haplotype-resolved whole-genome sequencing  of the HeLa CCL-2 strain, examined point- and indel-mutation variations, mapped copy-number variations and loss of heterozygosity regions, and phased","Uterine Cervical Neoplasms","Case Set","Not Provided","HeLa Cell Genome Sequencing Studies (phs000640.v7.p1)","CLONEEND, OTHER, POOLCLONE, RNA-Seq, SNP Genotypes (NGS), WGS, CLONEEND, OTHER, POOLCLONE, RNA-Seq, SNP Genotypes (NGS), WGS","1 phenotype datasets, 3 variables, 1 molecular datasets,  SRA, 1 subjects, 12 samples","","OD","HMB --- Health/medical/biomedical","2018-10-26","2018-10-26","Cervical Neoplasm, Uterine; Cervical Neoplasms; Cervical Neoplasms, Uterine; Cervical Tumor; Cervix Neoplasm; Cervix Neoplasms"
"phs000643.v7.p1","The Genomic and Transcriptomic Landscape of a HeLa Cell Line","HeLa is the most widely used model cell line for studying human cellular and molecular biology. To date, no genomic reference for this cell line has been released, and  experiments have relied on the human reference genome. Effective design and interpretation of molecular genetic studies performed using HeLa cells","Uterine Cervical Neoplasms","Case Set","Not Provided","HeLa Cell Genome Sequencing Studies (phs000640.v7.p1)","RNA-Seq, SNP Genotypes (NGS), WGS, RNA-Seq, SNP Genotypes (NGS), WGS","1 phenotype datasets, 3 variables, 1 molecular datasets,  SRA, 1 subjects, 1 samples","","OD","HMB --- Health/medical/biomedical","2018-10-26","2018-10-26","Cervical Neoplasm, Uterine; Cervical Neoplasms; Cervical Neoplasms, Uterine; Cervical Tumor; Cervix Neoplasm; Cervix Neoplasms"
"phs000650.v3.p1","PediGFR-CKiD","This sub-study phs000650 CKiD contains genotype and selected phenotype of subjects available from the phs000650 study. Summary level phenotypes for the NIDDK PediGFR_v2 Cohort study participants can be viewed  at the top-level study page phs000842 PediGFR_v2 Cohort. Individual level phenotype data and molecular data for all PediGFR_v2 Cohort top-level study","Kidney Diseases","Prospective Longitudinal Cohort","Not Provided","Pediatric Investigation for Genetic Factors Linked with Renal Progression (PediGFR) (phs000842.v2.p1)","SNP Genotypes (Array)","2 phenotype datasets, 28 variables, 2 molecular datasets, 842 subjects, 624 samples","European (430), East Asian (5), African American (42), Hispanic1 (5), Hispanic2 (42), Other Asian or Pacific Islander (4), Other (6)","NIDDK","DS-CKD-COMP-IRB --- Disease-specific (chronic kidney disease and related complications, irb)","2019-03-29","2019-03-29","Failure, Kidney; Failures, Kidney; Failures, Renal; Kidney Failures; RF - Renal failure; Renal Failure"
"phs000651.v10.p11","Building on GWAS: the U.S. CHARGE consortium - Sequencing (CHARGE-S): FHS","This substudy phs000651 Framingham CHARGE-S contains whole genome, whole exome, and targeted sequence data, produced as part of NHLBI's CHARGE-S project. Summary level phenotypes for the Framingham Cohort study  participants can be viewed at the top-level study page phs000007 Framingham Cohort. Individual level phenotype data and molecular data for all","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Framingham Cohort (phs000007.v30.p11)","SNP Genotypes (NGS), SNP/CNV Genotypes (NGS), WGS, WXS","5 phenotype datasets, 40 variables, 7 molecular datasets,  SRA, 2532 subjects, 2532 samples","","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , HMB-IRB-NPU-MDS --- Health/medical/biomedical (irb, npu, mds)","2018-10-12","2018-10-12","Atherogenesis; AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations"
"phs000654.v3.p1","Epi4K: Gene Discovery in 4,000 Epilepsy Genomes: Genetic Analyses in    Epileptic Encephalopathies","Project 1 of the Epi4K: Gene Discovery in 4,000 Epilepsy Genomes project is designed to study the genetics of sporadic epileptic encephalopathies, which are a group of severe childhood  epilepsy disorders for which the cause is often unknown. The study focuses on two of the more common types: infantile spasms (IS) and Lennox-Gastaut","Epileptic encephalopathy, Lennox-Gastaut type","Family/Twin/Trios","Not Provided","Epi4K: Gene Discovery in 4,000 Epilepsy Genomes (phs000653.v3.p1)","SNP Genotypes (NGS), WXS, SNP Genotypes (NGS), WXS","2 phenotype datasets, 12 variables, 2 molecular datasets,  SRA, 1011 subjects, 1011 samples","European (168), East Asian (2), African American (9), Hispanic1 (12), Hispanic2 (7), Other Asian or Pacific Islander (5), South Asian (6), Other (10)","NINDS","GRU --- General research use , DS-ESD-GSO --- Disease-specific (epilepsy and seizure disorders, gso)","2018-09-19","2018-09-19","Childhood Epileptic Encephalopathy with Diffuse Slow Spikes and Waves; Attack, Lightning; Attacks, Lightning; EIEE1; Infantile Spasm; Infantile Spasms"
"phs000665.v6.p1","HeLa S3 (CCL-2.2) HiC Sequencing","HiC chromatin conformation sequencing was performed for the purpose of chromosome fusion and structural rearrangement identification.","Uterine Cervical Neoplasms","Case Set","Not Provided","HeLa Cell Genome Sequencing Studies (phs000640.v7.p1)","OTHER","3 phenotype datasets, 12 variables,  SRA, 1 subjects, 1 samples","","OD","HMB --- Health/medical/biomedical","2018-10-26","2018-10-26","Cervical Neoplasm, Uterine; Cervical Neoplasms; Cervical Neoplasms, Uterine; Cervical Tumor; Cervix Neoplasm; Cervix Neoplasms"
"phs000667.v3.p1","Building on GWAS for NHLBI-Diseases: The U.S. CHARGE Consortium -    Sequencing (CHARGE-S): CHS","Note: This substudy phs000667 CHARGE-S Cardiovascular Health Study contains harmonized phenotype data, whole genome, exome, targeted sequencing data and exome chip data of a subset of the CHS cohort  selected for NHLBI's CHARGE-S CONSORTIUM Project. Summary level phenotypes of the Cardiovascular Health Cohort study participants may be viewed at","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Cardiovascular Health Study (CHS) Cohort: an NHLBI-funded observational study of risk factors for cardiovascular disease in adults 65 years or older (phs000287.v6.p1)","SNP Genotypes (Array), SNP Genotypes (NGS), WGS, WXS","5 phenotype datasets, 40 variables, 3 molecular datasets,  SRA, 5114 subjects, 7743 samples","European (236), Hispanic2 (1)","NHLBI","HMB-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , HMB-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-MDS --- Disease-specific (cardiovascular disease, npu, mds) , DS-CVD-IRB-NPU-MDS --- Disease-specific (cardiovascular disease, npu, mds)","2017-01-13","2018-01-13","Atherogenesis; AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations"
"phs000668.v3.p1","Building on GWAS: the U.S. CHARGE consortium - Sequencing (CHARGE-S):    ARIC","This sub-study phs000668 CHARGE-S Atherosclerosis Risk in Communities (ARIC) contains whole genome, whole exome, and targeted sequencing data, and exome SNP array data, produced as part of NHLBI's CHARGE-S  project for subjects available from the phs000668 study. Summary level phenotypes for the NHLBI ARIC Cohort study participants can be viewed at the","Atherosclerosis","Case Set","Not Provided","Atherosclerosis Risk in Communities (ARIC) Cohort (phs000280.v5.p1)","SNP Genotypes (Array), SNP Genotypes (NGS), SNP/CNV Genotypes (NGS), WGS, WXS","6 phenotype datasets, 72 variables, 6 molecular datasets,  SRA, 14858 subjects, 14858 samples","European (1696), African (57), African American (1806), Hispanic1 (14), Hispanic2 (4), Other (3)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2018-12-11","2018-12-11","Atherogenesis; AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations"
"phs000674.v3.p3","Resource for Genetic Epidemiology Research on Aging (GERA)","The Resource for Genetic Epidemiology Research on Aging (GERA) Cohort was created by a RC2 ""Grand Opportunity"" grant that was awarded to the Kaiser Permanente Research Program on Genes,  Environment, and Health (RPGEH) and the UCSF Institute of Human Genetics (AG036607; Schaefer/Risch, PIs). The RC2 project enabled a genome-wide SNP","Aging","Prospective Longitudinal Cohort","Not Provided","Research Program on Genes, Environment and Health (RPGEH) (phs000788.v2.p3)","SNP Genotypes (Array), SNP Genotypes (imputed)","4 phenotype datasets, 79 variables, 6 documents, 2 molecular datasets, 78419 subjects, 78419 samples","European (66620), African (42), East Asian (3751), African American (1913), Hispanic1 (390), Hispanic2 (3462), Other Asian or Pacific Islander (1330), South Asian (365), Other (546)","NIA","HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2018-05-15","2018-05-15","Aging, Biological; Biological Aging; Anxiety State, Neurotic; Anxiety States, Neurotic; Neurotic Anxiety State; Neurotic Anxiety States"
"phs000675.v3.p3","WHIMS+ GWAS: GWAS on Selected WHI Hormone Trial European Americans","WHI WHIMS+ GWAS This substudy contains genotypes generated using Illumina Omni Express on additional WHI European American (EA) participants. When these participants are combined with the GARNET participants, they  form a population that is representative of the entire WHI EA HT population. Also, all Women's Health Initiative Memory Study (WHIMS) participants","Memory","Prospective Longitudinal Cohort","Not Provided","Women&#39;s Health Initiative Clinical Trial and Observational Study (phs000200.v11.p3)","SNP Genotypes (Array)","1 phenotype datasets, 6 variables, 1 molecular datasets, 5740 subjects, 5740 samples","European (5709), East Asian (1), African American (4), Hispanic1 (11), Hispanic2 (10), Other Asian or Pacific Islander (1), Other (4)","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2017-06-23","2017-11-02","Adrenal Gland Tumor; Adrenal Neoplasm; Adrenal Neoplasms; Adrenal Tumor; Adrenal neoplasia; Neoplasm of Adrenal Gland"
"phs000685.v1.p1","Age-related Macular Degeneration (AMD) Targeted Sequencing Study","Age-related Macular Degeneration (AMD) is a leading cause of incurable blindness in people over the age of 65. AMD is a late-onset multi-factorial neurodegenerative disease and its pathogenesis involves  interaction of genetic and environmental factors. Several chromosomal regions have been associated with AMD susceptibility through linkage analysis","Macular Degeneration","Case-Control","Not Provided","Age related Macular Degeneration (AMD) - Michigan, Mayo, AREDS, Pennsylvania (MMAP) Cohort Study: Association and Sequencing Studies (phs000684.v1.p1)","WXS, WXS","2 phenotype datasets, 7 variables,  SRA, 3337 subjects, 3352 samples","","NEI","GRU --- General research use , DS-ED --- Disease-specific (eye disease)","2014-05-08","2015-05-08","AAMD - Age related macular degeneration; AMD; AMD - Age-related macular degeneration; ARMD; ARMD - Age-related macular degeneration; Age Related Macular Degeneration"
"phs000686.v1.p1","Genetic Risks for ALI in ARDSNet and the iSPAAR Consortium","This GWAS sub-study phs000686 contains genotype and selected phenotype of subjects available from the phs000631 study. Summary level phenotypes for the ""ARDSnet and the iSPAAR Consortium: Genetic Studies"" study  participants can be viewed at the top-level study page phs000631 ARDSNet iSPAAR cohort. Individual level phenotype data and molecular data for all","Acute Lung Injury","Case-Control","Not Provided","ARDSnet and the iSPAAR Consortium: Genomic Basis of Susceptibility and Outcomes in Patients with the Acute Respiratory Distress Syndrome (ARDS) (phs000631.v1.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","1 phenotype datasets, 5 variables, 1 molecular datasets, 2236 subjects, 2236 samples","European (2233), East Asian (1), Hispanic1 (1), Other (1)","NHLBI","HMB --- Health/medical/biomedical","2014-01-15","2015-01-15","ALI; ALI - Acute lung injury; Acute Lung Injuries; Lung Injuries, Acute; Lung Injury, Acute; Pyaemia"
"phs000702.v1.p1","Sequence Data From Participants in the FUSION Study","This study is part of a re-sequencing project to identify variants associated with metabolic syndrome traits in a Finnish cohort. Metabolic syndrome (MetS) increases the risk of cardiovascular disease  and diabetes, and prevalence is estimated to be as high as 25% in the United States. MetS is characterized via measure of triglycerides (TG), high","Diabetes Mellitus, Type 2","Case-Control","Not Provided","The Finland-United States Investigation of NIDDM Genetics (FUSION) Study (phs000867.v1.p1)","WXS, WXS","2 phenotype datasets, 6 variables,  SRA, 1825 subjects, 2222 samples","","NIDDK","GRU-IRB --- General research use (irb)","2015-04-24","2015-04-24","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs000704.v1.p1","CATHGEN: Identification of Novel Genetic and Metabolomic CV Phenotypes","The CATHGEN biorepository consists of biological samples collected on sequential consenting individuals undergoing cardiac catheterization at Duke University Medical Center between 2001 and 2010 inclusive. The Institutional Review Board  informed consent allowed for 50 mL of blood to be collected from fasting patients through the femoral arterial sheath during the catheterization","Coronary Disease","Cross-Sectional","Not Provided","CATHeterization GENetics (CATHGEN) (phs000703.v1.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 20 variables, 2 documents, 1 molecular datasets, 1327 subjects, 1327 samples","European (944), African (11), East Asian (2), African American (268), Hispanic1 (86), Hispanic2 (6), Other Asian or Pacific Islander (1), South Asian (6), Other (3)","NHLBI","DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2014-07-30","2014-07-30","CHD - Coronary heart disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases; Disease, Coronary; Disease, Coronary Heart"
"phs000705.v1.p1","CATHGEN: Genetic Mediators of Metabolic Cardiovascular Disease Risk","The CATHGEN biorepository consists of biological samples collected on sequential consenting individuals undergoing cardiac catheterization at Duke University Medical Center between 2001 and 2010 inclusive. The Institutional Review Board  informed consent allowed for 50 mL of blood to be collected from fasting patients through the femoral arterial sheath during the catheterization","Coronary Disease","Cross-Sectional","Not Provided","CATHeterization GENetics (CATHGEN) (phs000703.v1.p1)","SNP Genotypes (Array), mRNA Expression (Array), SNP Genotypes (Array), mRNA Expression (Array)","2 phenotype datasets, 19 variables, 2 documents, 2 molecular datasets, 1977 subjects, 1979 samples","European (1391), African (18), East Asian (4), African American (398), Hispanic1 (94), Hispanic2 (11), Other Asian or Pacific Islander (3), South Asian (10), Other (2)","NHLBI","DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2014-07-30","2014-07-30","CHD - Coronary heart disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases; Disease, Coronary; Disease, Coronary Heart"
"phs000724.v7.p11","Framingham Offspring Exam 8 DNA Methylation Study","This substudy phs000724 Framingham DNA Methylation contains DNA methylation raw data only. Summary level phenotypes for the Framingham Cohort study participants can be viewed at the top-level study page  phs000007 Framingham Cohort. Individual level phenotype data and molecular data for all Framingham top-level study and substudies are available by","Epigenomics","Prospective Longitudinal Cohort","Not Provided","Framingham Cohort (phs000007.v30.p11)","Methylation (CpG)","2 phenotype datasets, 38 variables, 2 molecular datasets, 4243 subjects, 6885 samples","","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds) , HMB-IRB-NPU-MDS --- Health/medical/biomedical (irb, npu, mds)","2018-10-12","2018-10-12","Epigenetic; Epigenetics; Cardiac Disease; Cardiac Diseases; Cardiac disorder; Cardiopathy"
"phs000731.v2.p1","BrainSpan Atlas of the Developing and Adult Human Brain","The NIH-funded BrainSpan (www.brainspan.org) and PsychENCODE (www.psychencode.org). Consortia sought to generate and analyze multi-dimensional genomics data from the developing and adult human brain in healthy and disease states. One  of the main goals has been to perform large-scale and integrated analysis of the genome, transcriptome, and epigenome of the human brain to broaden","Brain Diseases","Control Set","Not Provided","BrainSpan Atlas of the Human Brain (phs000755.v2.p1)","Methylation (CpG), ChIP-Seq, RNA-Seq, WGS, miRNA-Seq, Methylation (CpG), ChIP-Seq, RNA-Seq, WGS, miRNA-Seq","1 phenotype datasets, 3 variables, 1 molecular datasets,  SRA, 48 subjects, 1222 samples","","NIMH","GRU --- General research use","2019-01-08","2018-05-23","Brain Disease; Brain Disorders; CNS Disorder, Intracranial; CNS Disorders, Intracranial; Central Nervous System Disorders, Intracranial; Central Nervous System Intracranial Disorders"
"phs000746.v2.p3","WHI Harmonized and Imputed GWAS Data","This substudy phs000746 WHI Imputation is the effort of a joint imputation and harmonization effort for many of the Genome Wide Association Studies (GWAS) within the Women's Health Initiative  (WHI) Clinical Trials and Observational Studies. Summary level phenotypes for the WHI Cohort study participants can be viewed at the top-level study","Women's Health","Prospective Longitudinal Cohort","Not Provided","Women&#39;s Health Initiative Clinical Trial and Observational Study (phs000200.v11.p3)","SNP Genotypes (imputed)","1 phenotype datasets, 19 variables, 2 documents, 1 molecular datasets, 29814 subjects, 31806 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2017-06-23","2017-11-02","Health, Woman's; Health, Women's; Health, Womens; Woman's Health; Womens Health"
"phs000754.v1.p1","HGSC-BCM Whole-exome Sequencing of Intracranial Germ Cell Tumors (IGCTs)","This sub-study phs000754 Intracranial Germ Cell Tumors molecular and phenotype data of subjects available from the phs000754 study. Summary level phenotypes for the NHGRI Rare Cancer Tumors study participants  can be viewed at the top-level study page phs000725 Rare Cancer Tumors Cohort. Individual level phenotype data and molecular data for all Rare Cancer","Neoplasms","Case Set","Not Provided","Rare Cancer Tumors Project (phs000725.v1.p1)","SNP/CNV Genotypes (NGS), WXS, SNP/CNV Genotypes (NGS), WXS","2 phenotype datasets, 8 variables, 1 molecular datasets,  SRA, 28 subjects, 56 samples","East Asian (5), Other Asian or Pacific Islander (3), Other (2)","NHGRI","GRU --- General research use","2016-01-20","2016-01-20","BT - Brain tumor; Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour; Neoplasm of Brain"
"phs000762.v1.p1","OPPERA baseline case-control study of chronic TMJD","The OPPERA project investigates effects of genetic, physiological, psychological and clinical factors on risk of developing painful temporomandibular disorder. The baseline case-control study evaluated factors associated with chronic temporomandibular  disorder among OPPERA participants who enrolled in the study between May 2006 and November 2008.","Temporomandibular Joint Disorders","Case-Control","Not Provided","Orofacial Pain: Prospective Evaluation and Risk Assessment (OPPERA) (phs000761.v1.p1)","SNP Genotypes (NGS), SNP Genotypes (NGS)","24 phenotype datasets, 1079 variables, 20 documents, 1 molecular datasets, 1818 subjects, 1608 samples","","NIDCR","DS-TMJD-RD --- Disease-specific (temporomandibular joint disorder, rd)","2015-03-27","2015-03-27","Amplified Musculoskeletal Pain Syndrome; Chronic Pain, Widespread; Chronic Pains, Widespread; Chronic Widespread Pain; Pain, Widespread Chronic; Pains, Widespread Chronic"
"phs000765.v3.p2","Genetic Epidemiology of COPD (COPDGene) Genetic Analysis","This sub-study phs000765 COPDGene_Geno contains genotype of subjects available from the phs000765 study. Summary level phenotypes for the NHLBI COPDGene Cohort study participants can be viewed at the top-level  study page phs000179 COPDGene_v5 Cohort. Individual level phenotype data and molecular data for all COPDGene Cohort top-level study and sub-study are","Pulmonary Disease, Chronic Obstructive","Case-Control","Not Provided","Genetic Epidemiology of COPD (COPDGene) Funded by the National Heart, Lung, and Blood Institute (phs000179.v6.p2)","SNP Genotypes (Array), RNA-Seq, SNP Genotypes (NGS)","1 phenotype datasets, 7 variables, 2 analyses, 3 molecular datasets,  SRA, 9991 subjects, 11951 samples","European (6641), African (96), African American (3176), Hispanic1 (36), Hispanic2 (15), Other Asian or Pacific Islander (2), Other (18)","NHLBI","HMB --- Health/medical/biomedical , DS-CS --- Disease-specific (copd and smoking)","2019-05-03","2015-09-19","CAFL - Chronic airflow limitation; CAL - Chronic airflow limitation; COAD; COAD - Chronic obstructive airways disease; COLD; COLD - Chronic obstructive lung disease"
"phs000786.v2.p3","RPGEH WGS Pilot Study","The Kaiser Permanente Research Program on Genes, Environment, and Health (RPGEH) is a resource developed to facilitate research on genetic and environmental factors on common diseases and healthy aging.  The RPGEH resource links biospecimens, health surveys, and comprehensive electronic medical records on broadly consented adult members of Kaiser","Not Provided","Prospective Longitudinal Cohort","Not Provided","Research Program on Genes, Environment and Health (RPGEH) (phs000788.v2.p3)","SNP Genotypes (NGS), SNP Genotypes (NGS)","1 phenotype datasets, 3 variables, 1 molecular datasets,  SRA, 4 subjects, 4 samples","","NIA","HMB-IRB-NPU --- Health/medical/biomedical (irb, npu)","2018-05-15","2018-05-15",""
"phs000802.v2.p1","NCI Non-Hodgkin Lymphoma GWAS: CLL","This sub-study phs000802 NCI Non-Hodgkin Lymphoma GWAS: CLL contains genotype and subject and sample phenotype data from subjects available from the phs000802 study. Summary level phenotypes for the NCI  Non-Hodgkin Lymphoma GWAS study participants can be viewed at the top-level study page phs000801 NCI Non-Hodgkin Lymphoma GWAS. Individual level","Lymphoma, Non-Hodgkin","Prospective Longitudinal Cohort","Not Provided","National Cancer Institute (NCI) Non-Hodgkin Lymphoma Genome-wide Association Study (GWAS) (phs000801.v2.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 10 variables, 1 molecular datasets, 2178 subjects, 2225 samples","European (2173), Hispanic1 (1), Hispanic2 (2), Other (2)","NCI","DS-CA-IRB-NPU-GSO --- Disease-specific (cancer, irb, npu, gso) , DS-NHL-NPU-GSO --- Disease-specific (non-hodgkin lymphoma, npu, gso) , GRU-NPU-MDS --- General research use (npu, mds)","2016-09-22","2016-09-22","B Cell CLL; B Cell Chronic Lymphocytic Leukemia; B Cell Leukemia, Chronic; B Cell Lymphocytic Leukemia; B Lymphocytic Leukemia, Chronic; B-CLL"
"phs000818.v2.p1","NCI Non-Hodgkin Lymphoma GWAS: Controls","This sub-study phs000818 NCI Non-Hodgkin Lymphoma GWAS: Controls contains genotype and subject and sample phenotype of subjects available from the phs000818 study. Summary level phenotypes for the NCI Non-Hodgkin  Lymphoma GWAS study participants can be viewed at the top-level study page phs000801 NCI Non-Hodgkin Lymphoma GWAS. Within the framework of the","Lymphoma, Non-Hodgkin","Prospective Longitudinal Cohort","Not Provided","National Cancer Institute (NCI) Non-Hodgkin Lymphoma Genome-wide Association Study (GWAS) (phs000801.v2.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 10 variables, 1 molecular datasets, 2685 subjects, 2835 samples","European (2680), Hispanic1 (1), Other (4)","NCI","DS-CA-IRB-NPU-GSO --- Disease-specific (cancer, irb, npu, gso) , DS-NHL-NPU-GSO --- Disease-specific (non-hodgkin lymphoma, npu, gso) , GRU-NPU-MDS --- General research use (npu, mds)","2016-09-22","2016-09-22","Interdigitating cell sarcoma; Reticulosarcomas; Reticulum Cell Sarcoma; Reticulum cell sarcoma morphology; Reticulum-Cell Sarcoma; Reticulum-Cell Sarcomas"
